Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;29;1;Zabelê-Vila Serrana;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;7;24;0;Patagônia;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;32;1;Centro;José Gonçalves;0;0;0;0;0
Curso Técnico em Administração;0;0;55;1;Recreio;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;29;1;Centro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;25;0;Espírito Santo-Vila Elisa;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Nova Cidade;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;1;23;0;Guarani;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;0;27;1;Centro-Povoado do Prasdoso;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;22;1;Centro;Inhobim;0;0;0;0;0
Curso Técnico em Administração;0;0;23;1;Espírito Santo-Morada Real;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;0;Felícia-Jurema;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;5;19;0;Espírito Santo;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;44;1;Alto Maron;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;11;42;0;Felícia;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;13;24;1;Patagônia;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;23;0;Centro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;5;24;1;Simão-Centro;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;25;1;Conveima;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;38;1;Centro;Barra do Choça;0;0;0;0;0
Curso Técnico em Administração;0;0;20;1;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;22;1;Boa Vista;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Espírito Santo-Urbis VI;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;26;1;Centro;Iguaí;0;0;0;0;2
Curso Técnico em Administração;0;0;28;0;Felícia;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;29;1;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;23;0;Primavera;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;27;1;Ibirapuera;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;13;25;1;Felícia-Jardim Guanabara II;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;29;1;Espírito Santo;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;13;19;1;Comveima;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;7;23;1;Zabele-jacaranda;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;20;0;Zabelê-Miro Cairo;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;13;24;1;Jurema;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;22;0;Campinhos-Simão;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;11;25;0;Zabelê-Senhorinha Cairo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;25;0;Espírito Santo-Morada Real ;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;8;24;0;Primavera-Vivendas da Serra;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;22;1;São Pedro-Recanto das Aguas;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;8;26;1;Airton Senna;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;22;1;São Pedro-Recanto das Aguas;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;34;1;São Pedro;Vitória da Conquista;1;0;0;0;9
Curso Técnico em Administração;0;1;21;0;Brasil;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;40;1;Bateias;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;21;0;Jatobá;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;27;1;Zabelê-Senhorinha Cairo;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;24;1;Jatobá;Vitória da Conquista;0;0;0;0;5
